epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,700.978,1.29609,2.84196,1.86955,1.71039,0.66136,0.48135,0.52385,0.35062,0.64576,0.46304,0.49564,0.28753,1.32511,3.07115,2.01432,1.82227,0.00082539,0.00082539,0.00082539
66,711.451,1.28302,2.86129,1.86174,1.69587,0.69991,0.51756,0.55258,0.39555,0.6979,0.50682,0.53067,0.33263,1.29321,2.87589,1.83747,1.75731,0.000815959,0.000815959,0.000815959
67,721.934,1.25544,2.9231,1.83944,1.6894,0.6887,0.50785,0.56746,0.3897,0.70157,0.49804,0.53965,0.32428,1.3242,2.89431,1.85172,1.7869,0.000806528,0.000806528,0.000806528
68,732.427,1.28647,2.8609,1.86618,1.72124,0.75433,0.4726,0.54591,0.37122,0.75253,0.45385,0.51837,0.30404,1.3361,2.93237,1.86472,1.83127,0.000797096,0.000797096,0.000797096
69,742.912,1.25178,2.87081,1.85431,1.69391,0.75175,0.48947,0.55388,0.37578,0.73558,0.47539,0.5201,0.32333,1.32971,3.04616,1.84429,1.80326,0.000787665,0.000787665,0.000787665
70,753.387,1.24801,2.79287,1.82564,1.6779,0.70259,0.51185,0.56048,0.39858,0.70663,0.50365,0.54394,0.34153,1.30461,2.86223,1.80365,1.75168,0.000778233,0.000778233,0.000778233
71,763.911,1.29139,2.86809,1.88447,1.72442,0.71936,0.50088,0.55653,0.36484,0.70424,0.49885,0.53476,0.3223,1.33871,2.83453,1.95149,1.82585,0.000768802,0.000768802,0.000768802
72,774.343,1.271,2.77045,1.82575,1.69282,0.66954,0.4615,0.54072,0.35528,0.59788,0.46953,0.49567,0.28795,1.37902,3.06501,1.93515,1.91879,0.000759371,0.000759371,0.000759371
73,784.819,1.22838,2.74266,1.80966,1.65132,0.68268,0.50028,0.53431,0.35949,0.6812,0.48306,0.51332,0.3056,1.33786,2.91904,1.9909,1.78394,0.000749939,0.000749939,0.000749939
74,795.288,1.27787,2.82431,1.83171,1.68211,0.79091,0.4792,0.56228,0.38259,0.78174,0.48072,0.54481,0.32997,1.31064,2.81159,1.82562,1.80188,0.000740508,0.000740508,0.000740508
75,805.877,1.26298,2.88373,1.79043,1.69444,0.67389,0.49838,0.53567,0.36005,0.65465,0.48427,0.50604,0.30514,1.33596,2.89262,1.96866,1.80547,0.000731076,0.000731076,0.000731076
76,816.303,1.2198,2.76264,1.76934,1.6643,0.7581,0.5018,0.57805,0.40911,0.75029,0.49883,0.54338,0.33435,1.27054,2.96387,1.77576,1.72826,0.000721645,0.000721645,0.000721645
77,826.768,1.2845,2.87347,1.82536,1.69781,0.68292,0.52607,0.56438,0.39154,0.66938,0.51088,0.54128,0.32543,1.30048,2.8412,1.79331,1.73635,0.000712214,0.000712214,0.000712214
78,837.215,1.22905,2.71662,1.77885,1.66265,0.72469,0.51097,0.574,0.41022,0.69154,0.49425,0.5518,0.3415,1.28795,2.89747,1.79071,1.76011,0.000702782,0.000702782,0.000702782
79,847.706,1.21867,2.75268,1.77899,1.6412,0.77983,0.48594,0.55448,0.38351,0.76957,0.47883,0.52915,0.32741,1.31026,2.89441,1.79725,1.75367,0.000693351,0.000693351,0.000693351
80,858.192,1.24713,2.77932,1.79787,1.67494,0.83088,0.47993,0.57082,0.40985,0.82045,0.4741,0.55823,0.35375,1.26427,2.80103,1.74716,1.73976,0.000683919,0.000683919,0.000683919
81,868.686,1.2123,2.73063,1.73188,1.64753,0.68626,0.49785,0.55581,0.38586,0.6734,0.49865,0.52778,0.33869,1.27654,2.90818,1.94395,1.7255,0.000674488,0.000674488,0.000674488
82,879.136,1.22273,2.77054,1.76316,1.65589,0.7256,0.53764,0.57855,0.40988,0.76904,0.49957,0.55113,0.35276,1.28169,2.79765,1.81693,1.74808,0.000665057,0.000665057,0.000665057
83,889.605,1.27518,2.82816,1.79546,1.69313,0.7737,0.45358,0.53742,0.36845,0.7737,0.45358,0.51215,0.31538,1.2825,2.93202,1.9371,1.73026,0.000655625,0.000655625,0.000655625
84,900.082,1.22452,2.7407,1.75766,1.64671,0.76215,0.52002,0.57947,0.41487,0.76589,0.50982,0.55415,0.36072,1.23804,2.77024,1.74611,1.71633,0.000646194,0.000646194,0.000646194
85,910.562,1.2266,2.74998,1.70535,1.64381,0.74283,0.51868,0.58154,0.41598,0.72009,0.49727,0.54207,0.3447,1.23239,2.89863,1.71648,1.69471,0.000636762,0.000636762,0.000636762
86,921.057,1.22804,2.66286,1.74097,1.64581,0.74248,0.50612,0.55496,0.40625,0.73708,0.47457,0.52086,0.34958,1.21611,2.88673,1.83718,1.68897,0.000627331,0.000627331,0.000627331
87,931.567,1.23963,2.828,1.76947,1.66043,0.66446,0.55053,0.57979,0.41061,0.72315,0.50497,0.55181,0.35318,1.22854,2.80632,1.75031,1.70359,0.0006179,0.0006179,0.0006179
88,942.037,1.23686,2.66842,1.72913,1.6627,0.74033,0.53512,0.58352,0.41581,0.78032,0.49553,0.54816,0.35265,1.22001,2.90005,1.73405,1.68157,0.000608468,0.000608468,0.000608468
89,952.497,1.21613,2.71678,1.74135,1.65234,0.77154,0.50595,0.57194,0.40449,0.76779,0.49867,0.54709,0.34356,1.22627,2.88226,1.71879,1.6973,0.000599037,0.000599037,0.000599037
90,962.945,1.19822,2.67595,1.71849,1.63851,0.72796,0.51993,0.57416,0.39796,0.71988,0.50903,0.5398,0.32713,1.2165,2.95293,1.74672,1.71759,0.000589605,0.000589605,0.000589605
