epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,2722.48,0.50493,0.98283,0.47016,1.04788,0,0.81599,0.64293,0.70998,0.55313,0.79094,0.6258,0.67316,0.49726,0.84376,2.71106,1.15586,1.3326,0,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
50,2777.58,0.51441,1.05372,0.48261,1.05181,0,0.84975,0.62061,0.70136,0.55001,0.8335,0.60257,0.6681,0.49409,0.85611,2.67838,1.18122,1.34221,0,0.00290058,0.000966861,0.00290058,0.000966861,0.00290058,0.000966861,0.00290058,0.000966861
51,2832.79,0.48686,1.02347,0.45618,1.03714,0,0.82643,0.64374,0.70417,0.53102,0.81141,0.62174,0.69199,0.48613,0.85368,2.59507,1.21035,1.35994,0,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
52,2887.98,0.49988,0.99296,0.47119,1.04951,0,0.83604,0.64149,0.73029,0.56391,0.82031,0.62613,0.70404,0.50708,0.85028,2.65511,1.16122,1.34331,0,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
53,2943.26,0.50048,0.97376,0.45888,1.04699,0,0.81764,0.67488,0.7325,0.56409,0.79875,0.66199,0.70623,0.51915,0.874,2.56972,1.20382,1.38527,0,0.0028157,0.000938567,0.0028157,0.000938567,0.0028157,0.000938567,0.0028157,0.000938567
54,2998.4,0.48225,0.9823,0.45069,1.03157,0,0.83026,0.65168,0.7215,0.55766,0.8068,0.63343,0.68544,0.50153,0.84838,2.68478,1.29912,1.3441,0,0.00278741,0.000929136,0.00278741,0.000929136,0.00278741,0.000929136,0.00278741,0.000929136
55,3055,0.49392,0.95829,0.46633,1.03742,0,0.78524,0.66403,0.71692,0.57521,0.7528,0.63988,0.69179,0.51726,0.83442,2.75576,1.28775,1.32522,0,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
56,3110.15,0.46921,0.92167,0.43978,1.0301,0,0.87266,0.6,0.70915,0.56828,0.86165,0.59831,0.69179,0.5154,0.83347,2.77091,1.31191,1.3111,0,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
57,3165.43,0.48997,0.99917,0.43599,1.03822,0,0.82874,0.63729,0.70433,0.56071,0.81259,0.62371,0.68523,0.50617,0.82484,2.78306,1.25783,1.33812,0,0.00270252,0.000900842,0.00270252,0.000900842,0.00270252,0.000900842,0.00270252,0.000900842
58,3220.32,0.51201,0.99287,0.44831,1.0535,0,0.83408,0.62993,0.71182,0.57263,0.81388,0.61581,0.69801,0.52241,0.84793,2.7103,1.26202,1.33623,0,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
