epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,2636.85,0.51861,0.45769,1.04046,0.82092,0.59422,0.68618,0.55372,0.94773,1.83843,1.43504,0.00222152,0.000740508,0.00222152,0.000740508,0.00222152,0.000740508,0.00222152,0.000740508
75,2672.12,0.51124,0.46127,1.05225,0.82039,0.61371,0.69241,0.54612,0.91575,1.8509,1.42187,0.00219323,0.000731076,0.00219323,0.000731076,0.00219323,0.000731076,0.00219323,0.000731076
76,2707.26,0.4934,0.41299,1.03171,0.81702,0.6261,0.69928,0.5596,0.90048,1.86415,1.4083,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
77,2742.58,0.48533,0.41567,1.02863,0.81404,0.62109,0.69162,0.54217,0.9568,1.79509,1.42373,0.00213664,0.000712214,0.00213664,0.000712214,0.00213664,0.000712214,0.00213664,0.000712214
78,2778.18,0.4976,0.44888,1.0326,0.84959,0.59711,0.69609,0.54107,0.95725,1.83212,1.42867,0.00210835,0.000702782,0.00210835,0.000702782,0.00210835,0.000702782,0.00210835,0.000702782
79,2813.53,0.50907,0.45283,1.04536,0.84456,0.62107,0.69801,0.54152,0.98778,1.81443,1.49871,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
80,2848.68,0.46899,0.41137,1.02021,0.74773,0.63834,0.68216,0.53115,0.96499,1.96706,1.46684,0.00205176,0.000683919,0.00205176,0.000683919,0.00205176,0.000683919,0.00205176,0.000683919
81,2883.99,0.49391,0.42963,1.02946,0.80302,0.65887,0.69425,0.53617,0.95297,1.89608,1.47572,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488
82,2919.13,0.48169,0.40569,1.0329,0.84774,0.61648,0.69975,0.55684,0.97178,1.85786,1.4591,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
83,2954.86,0.48602,0.42397,1.01337,0.80369,0.63966,0.71148,0.56688,0.95455,1.84152,1.44566,0.00196688,0.000655625,0.00196688,0.000655625,0.00196688,0.000655625,0.00196688,0.000655625
